"30/11/20, 6:57?pm - Messages and calls are end-to-end encrypted. Only people in this chat can read, listen to, or share them. Learn more."
"30/11/20, 6:57?pm - Mohanraj: <Media omitted>"
"Crucial,"
WD
Adata
Indha brands lam konjam Nala irukum
"14/10/25, 5:46?pm - Mohanraj: <Media omitted>"
"14/10/25, 6:24?pm - Mohanraj: 2.5inch SATA SSD"
"14/10/25, 6:24?pm - Mohanraj: Brands:"
"Crucial,"
WD
Adata
Indha brands lam konjam Nala irukum
"14/10/25, 6:25?pm - Mohanraj: 2.5inch SATA SSD"
"14/10/25, 6:25?pm - Mohanraj: Brands:"
"Crucial,"
WD
Adata
Indha brands lam konjam Nala irukum
"14/10/25, 6:24?pm - Sathish Lap: Send pq"
"14/10/25, 6:27?pm - Sathish Lap: Yes"
"14/10/25, 6:27?pm - Sathish Lap: This one branded"
"14/10/25, 6:27?pm - Sathish Lap: All ssd 2.5 inches"
